# File: A_CCap_Constraint.csv,,,,,,,,,,,,,,,,,,,,,,,
# Title: Carbon caps for specific industries,,,,,,,,,,,,,,,,,,,,,,,
# Units: MTC,,,,,,,,,,,,,,,,,,,,,,,
# Comments: For linked regions (share same market/policy/constraint) only include the constraint for one region,,,,,,,,,,,,,,,,,,,,,,,
#  If using GDP intensity base year  in GDPIntensity_BaseYear column (must be historical year); then percent change in year columns,,,,,,,,,,,,,,,,,,,,,,,
# Column types: ccccciinnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,
xml,market,ghgpolicy,link.type,mapping.name,year.fillout,GDPIntensity_BaseYear,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_ccapbuild_can.xml,Canada,CO2_building,,BUILD_SECTORS_NOCOOL,2030,,19.9403927,19.9403927,19.9403927,,,,,,,,,,,,,,
policy_ccapind_chn.xml,China,CO2_industry,,CO2_CHINA_INDUSTRY,,2015,-12,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28
policy_ccap_eu.xml,EU,CO2_ETS,,ETS,2030,,533.2535324,387.8102662,242.367,,,,,,,,,,,,,,
policy_fgas_eu.xml,EU,FGAS,FGAS,,2050,,69.9,48.5,27.1,13.4,6.6,3.3,1.7,,,,,,,,,,
policy_ccap_iron_steel_cement_jpn.xml,Japan,CO2_ironsteel,,IRONSTEEL,2030,,,35.7,28.6,,,,,,,,,,,,,,
policy_ccap_iron_steel_cement_jpn.xml,Japan,CO2_cement,,CEMENT,2030,,,,10.14,,,,,,,,,,,,,,
policy_ccaptran_rus.xml,Russia,CO2_4W,,TRN_4W,2050,,,,25,25,25,25,25,,,,,,,,,,
policy_ccap_kor.xml,South Korea,CO2,,,2025,,182.22,174,,,,,,,,,,,,,,,
policy_ccapbuild_kor.xml,South Korea,CO2_building,,BUILD_SECTORS_NOCOOL,2030,,,12.79493806,11.29493806,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Argentina,CO2,,,,,47.35427342,52.21082199,53.33986778,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Australia_NZ,CO2,,,,,124.2145913,116.6967624,94.51404073,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Brazil,CO2,,,,,127.827046,128.1765535,127.3375799,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Canada,CO2,,,,,157.7532747,138.5937653,93.76285045,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,China,CO2,,,,,3186.849217,3388.09797,3842.128933,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,EU,CO2,,,,,798.0988651,637.6147139,416.3775207,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Europe_Non_EU,CO2,,,,,137.1327818,151.7340787,161.2672071,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,India,CO2,,,,,732.8793799,989.8654396,1237.078867,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Indonesia,CO2,,,,,180.9609233,199.457403,234.6879086,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Japan,CO2,,,,,321.0498531,291.1190228,245.4708172,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Mexico,CO2,,,,,128.137275,134.3594682,136.4716132,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Middle East,CO2,,,,,562.8615317,608.7858618,628.4705254,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Russia,CO2,,,,,508.1842411,470.7500795,448.2498308,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,South Africa,CO2,,,,,133.1168636,137.7450449,135.9189443,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,South Korea,CO2,,,,,180.4176916,176.1098916,167.9795481,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,USA,CO2,,,,,1239.588231,1128.844072,1007.493986,,,,,,,,,,,,,,
policy_GHG_constraint_post2030_CP.xml,Africa_Eastern,GHG,ALL_GHG,,,,,,,1441.500212,1941.665361,2626.957134,3548.620711,4767.676146,6353.825856,8387.806233,10961.31075,14159.0165,18050.19019,22683.69014,28099.88456,34409.08113,41642.35696
policy_GHG_constraint_post2030_CP.xml,Africa_Northern,GHG,ALL_GHG,,,,,,,1463.863565,1858.016033,2300.009273,2798.987707,3363.773955,4024.22327,4797.334208,5663.690845,6585.539144,7557.520865,8593.924647,9687.128857,10776.68392,11901.8836
policy_GHG_constraint_post2030_CP.xml,Africa_Southern,GHG,ALL_GHG,,,,,,,1351.925751,1713.389015,2205.55254,2879.804077,3793.809588,5003.731914,6574.633649,8573.350199,11083.96123,14170.31971,17893.54204,22302.37062,27439.16258,33316.64885
policy_GHG_constraint_post2030_CP.xml,Africa_Western,GHG,ALL_GHG,,,,,,,3087.443926,4265.649198,5860.490239,8002.493135,10844.81868,14560.27205,19330.01823,25314.20267,32766.1944,41820.2956,52560.7589,65050.88288,79325.37266,95423.51701
policy_GHG_constraint_post2030_CP.xml,Argentina,GHG,ALL_GHG,,,,,,,509.3428936,527.2133264,535.5207368,539.4516943,542.1421457,543.4670255,542.876406,555.7899436,563.7279673,567.2118853,567.0443957,566.0015416,561.7316987,558.3511428
policy_GHG_constraint_post2030_CP.xml,Australia_NZ,GHG,ALL_GHG,,,,,,,675.1332345,659.4948865,640.174331,620.8236534,597.4327024,575.0108223,554.0237894,534.4231504,511.0764272,487.5782194,467.0529561,447.6294907,428.9333133,413.3703035
policy_GHG_constraint_post2030_CP.xml,Brazil,GHG,ALL_GHG,,,,,,,1986.309581,2147.993787,2299.1165,2443.700603,2568.809688,2678.739915,2777.252388,2917.752103,3051.840332,3197.780441,3353.988868,3481.94907,3611.278196,3744.142151
policy_GHG_constraint_post2030_CP.xml,Canada,GHG,ALL_GHG,,,,,,,542.453285,491.3233917,442.438276,397.699541,356.8352724,319.9589909,286.4857458,261.9500243,238.7731156,215.8781821,196.1043031,179.1461016,164.0201066,151.0715699
policy_GHG_constraint_post2030_CP.xml,Central America and Caribbean,GHG,ALL_GHG,,,,,,,555.7576863,652.4974993,760.1150705,881.5947563,1016.266678,1164.079325,1325.08406,1501.567006,1690.040047,1890.142757,2102.515324,2327.69415,2555.850655,2787.822082
policy_GHG_constraint_post2030_CP.xml,Central Asia,GHG,ALL_GHG,,,,,,,1243.597431,1520.440942,1816.08489,2099.656635,2370.330902,2649.745777,2979.043099,3371.760645,3798.424272,4221.510349,4667.382987,5153.218498,5638.281583,6131.556774
policy_GHG_constraint_post2030_CP.xml,China,GHG,ALL_GHG,,,,,,,18858.73174,20921.55972,22014.51846,22529.70708,22652.73537,22841.33329,22881.53355,22695.75197,22354.88617,22039.96542,21476.14162,20672.66503,19414.2106,18289.05319
policy_GHG_constraint_post2030_CP.xml,Colombia,GHG,ALL_GHG,,,,,,,366.3374199,404.2928552,437.3011495,466.4608386,492.8406168,515.9751451,535.4904739,585.9652998,635.8218497,685.1552429,738.9769658,798.7660319,857.8361072,915.65844
policy_GHG_constraint_post2030_CP.xml,EU,GHG,ALL_GHG,,,,,,,1872.373635,1483.572548,1184.804987,947.7367053,757.2518396,604.6292608,483.3773201,386.8376712,309.1916195,245.8236846,195.6881199,156.3381324,125.0297528,100.2232073
policy_GHG_constraint_post2030_CP.xml,Europe_Eastern,GHG,ALL_GHG,,,,,,,739.5154309,848.2508423,946.7200852,1039.09249,1122.571556,1207.039797,1298.265867,1398.533192,1509.963415,1619.697247,1721.406735,1805.472834,1879.203431,1988.747748
policy_GHG_constraint_post2030_CP.xml,Europe_Non_EU,GHG,ALL_GHG,,,,,,,902.3033535,992.1742677,1059.086105,1114.341295,1162.637873,1199.755919,1232.17053,1262.838478,1288.763355,1303.601398,1313.423536,1317.811595,1311.736272,1298.223352
policy_GHG_constraint_post2030_CP.xml,European Free Trade Association,GHG,ALL_GHG,,,,,,,660.1768618,693.7450384,723.1621848,752.8253681,783.7228039,819.2638698,856.8678892,907.4714741,955.7701061,1001.748905,1052.054459,1104.700599,1160.461825,1225.218222
policy_GHG_constraint_post2030_CP.xml,India,GHG,ALL_GHG,,,,,,,8151.055068,10276.31153,12340.56924,14369.40497,16400.66572,18545.63331,20854.40422,23719.66704,26660.58242,29628.44254,32573.29599,35598.36188,38670.06291,41853.89553
