# File: A_Shareweights.csv,,,,,,,,,,,,,,,,,,,,,
# Title: Shareweight Overwrites,,,,,,,,,,,,,,,,,,,,,
# Units: NA,,,,,,,,,,,,,,,,,,,,,
# Comments: Will write the last year forward to 2100,,,,,,,,,,,,,,,,,,,,,
# Column types: cccccnnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,
xml,region,supplysector,subsector,stub.technology,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_coalPhaseout_can.xml,Canada,electricity,coal,,0,,,,,,,,,,,,,,,,
policy_coalPhaseout_eu.xml,EU-12,electricity,coal,,0,,,,,,,,,,,,,,,,
policy_coalPhaseout_eu.xml,EU-15,electricity,coal,,0,,,,,,,,,,,,,,,,
policy_coalPhaseout_mex.xml,Mexico,electricity,coal,,0,,,,,,,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-12,trn_pass_road_LDV_4W,Car,Liquids,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-12,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-12,trn_pass_road_LDV_4W,Car,NG,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-12,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-12,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-12,trn_pass_road_LDV_4W,Large Car and Truck,NG,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-12,trn_pass_road_LDV_4W,Mini Car,Liquids,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-12,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-12,trn_pass_road_LDV_4W,Mini Car,NG,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-15,trn_pass_road_LDV_4W,Car,Liquids,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-15,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-15,trn_pass_road_LDV_4W,Car,NG,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-15,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-15,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-15,trn_pass_road_LDV_4W,Large Car and Truck,NG,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-15,trn_pass_road_LDV_4W,Mini Car,Liquids,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-15,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,EU-15,trn_pass_road_LDV_4W,Mini Car,NG,,,,,0,0,0,,,,,,,,,,
policy_can_BEV_2020.xml,Canada,trn_pass_road_LDV_4W,Car,BEV,0.5,0.5,1,,,,,,,,,,,,,,
policy_can_BEV_2020.xml,Canada,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.5,0.5,1,,,,,,,,,,,,,,
