# File: A3231.subsector_interp.csv,,,,,,
# Title: Iron default subsector shareweight interpolation,,,,,,
# Units: NA,,,,,,
# Column types: ccccccc,,,,,,
# ----------,,,,,,
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
BF_coal,BF_coal,share-weight,final-calibration-year,end-year,,linear
BF_CCS_73%,BF_CCS_73%,share-weight,final-calibration-year,end-year,,linear
BF_CCS_86%,BF_CCS_86%,share-weight,final-calibration-year,end-year,,linear
BF_BECCSmin,BF_BECCSmin,share-weight,final-calibration-year,end-year,,linear
BF_BECCSmax,BF_BECCSmax,share-weight,final-calibration-year,end-year,,linear
DRI_NG,DRI_NG,share-weight,final-calibration-year,end-year,,linear
DRI_NG_CCS,DRI_NG_CCS,share-weight,final-calibration-year,end-year,,linear
DRI_coal,DRI_coal,share-weight,final-calibration-year,end-year,,linear
DRI_coal_CCS,DRI_coal_CCS,share-weight,final-calibration-year,end-year,,linear
DRI_BECCS,DRI_BECCS,share-weight,final-calibration-year,end-year,,linear
DRI_H2,DRI_H2,share-weight,final-calibration-year,end-year,,linear
